id	name
1	Freelands
2	Southern Jungles
3	Southern Wildlands
4	The Hunter's Dark Forest
5	Erdon's Rest
6	Wandering Dunes
7	Maut
8	Razor Isles
9	Sweet Coast Islands
10	Hedgeon's Valley
11	Quio
12	Bleak Canyons
13	The Tangle
14	Skyland
15	Kinter
16	Great River Basin
17	Eterdaven
18	Baz Geg (Demon Islands)
19	Kesh
20	Moteska
21	Black Highlands
22	Dortmer
23	Druval Mountains
24	Normer
25	Sinos
26	Hundred Streams
27	Caern Falls
28	Fire Mines
29	Silver Lakes
30	Grayforge
31	Phantom Craigs
32	Helkrest
33	Denmother
34	Lost Steppes
35	Western Woodlands
36	Northern Plains
37	Phoros
38	Eriset and the Cortuan Sea
39	Dusk's Haunt
40	Mantle of Fire
41	Etnox
42	Eye of Orra
43	Reefwatch
44	Crown of the Seas
45	The Tar Pits
